GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,AST,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,FG_PCT,DFGM,DFGA,DFG_PCT
0022000323,1610612761,Raptors,TOR,Toronto,240:00,18.47,15,50,65,417,4,2,299,32,12,25,0.48,28,58,0.483,0.482,10,16,0.625
0022000323,1610612753,Magic,ORL,Orlando,240:00,18.5,22,49,70,442,5,0,312,24,16,31,0.516,25,58,0.431,0.461,18,27,0.667
0022000324,1610612746,Clippers,LAC,LA,240:00,17.28,26,44,68,375,2,1,252,21,18,40,0.45,27,59,0.458,0.455,17,23,0.739
0022000324,1610612751,Nets,BKN,Brooklyn,240:00,16.72,19,66,84,364,5,5,251,25,17,30,0.567,28,49,0.571,0.57,13,21,0.619
0022000322,1610612763,Grizzlies,MEM,Memphis,240:00,19.05,34,45,74,434,3,1,304,27,25,52,0.481,17,41,0.415,0.452,23,29,0.793
0022000322,1610612754,Pacers,IND,Indiana,240:00,19.06,19,55,73,458,3,7,332,30,22,37,0.595,27,45,0.6,0.598,18,27,0.667
0022000559,1610612757,Trail Blazers,POR,Portland,240:00,16.92,25,40,62,398,1,0,272,19,18,34,0.529,26,61,0.426,0.463,24,29,0.828
0022000559,1610612764,Wizards,WAS,Washington,240:00,17.13,13,55,68,374,3,2,262,32,23,28,0.821,23,55,0.418,0.554,14,20,0.7
0022000326,1610612738,Celtics,BOS,Boston,240:00,18.07,30,56,81,409,1,4,286,16,16,34,0.471,23,50,0.46,0.464,17,28,0.607
0022000326,1610612744,Warriors,GSW,Golden State,240:00,17.83,20,57,74,438,6,1,319,30,16,33,0.485,22,50,0.44,0.458,12,19,0.632
0022000325,1610612765,Pistons,DET,Detroit,240:00,18.49,20,57,76,414,3,1,286,18,18,44,0.409,21,49,0.429,0.419,15,23,0.652
0022000325,1610612762,Jazz,UTA,Utah,240:00,18.11,18,60,78,385,3,5,267,23,13,28,0.464,25,54,0.463,0.463,16,28,0.571
