GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MINUTES,PTS,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,BOX_OUTS
0021500007,1610612765,DET,Detroit,201229,Anthony Tolliver,,,19:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500007,1610612765,DET,Detroit,203382,Aron Baynes,,,11:53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500007,1610612765,DET,Detroit,1626169,Stanley Johnson,,,19:35,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500007,1610612765,DET,Detroit,203493,Reggie Bullock,,,6:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500029,1610612750,MIN,Minnesota,2419,Tayshaun Prince,F,,29:20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500029,1610612750,MIN,Minnesota,708,Kevin Garnett,F,,22:19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500029,1610612750,MIN,Minnesota,1626157,Karl-Anthony Towns,C,,33:12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500029,1610612750,MIN,Minnesota,203952,Andrew Wiggins,G,,30:41,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500029,1610612750,MIN,Minnesota,201937,Ricky Rubio,G,,30:24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500029,1610612750,MIN,Minnesota,202357,Nemanja Bjelica,,,25:41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500029,1610612750,MIN,Minnesota,2755,Kevin Martin,,,21:20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500029,1610612750,MIN,Minnesota,203498,Shabazz Muhammad,,,16:11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500029,1610612750,MIN,Minnesota,203476,Gorgui Dieng,,,13:16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500029,1610612750,MIN,Minnesota,203897,Zach LaVine,,,17:36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500029,1610612743,DEN,Denver,201568,Danilo Gallinari,F,,33:23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500029,1610612743,DEN,Denver,202702,Kenneth Faried,F,,26:47,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500029,1610612743,DEN,Denver,203530,Joffrey Lauvergne,C,,16:15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500029,1610612743,DEN,Denver,203914,Gary Harris,G,,17:53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500029,1610612743,DEN,Denver,1626144,Emmanuel Mudiay,G,,26:30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500029,1610612743,DEN,Denver,203115,Will Barton,,,29:41,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500029,1610612743,DEN,Denver,200751,Randy Foye,,,8:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500029,1610612743,DEN,Denver,2749,Jameer Nelson,,,25:42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500029,1610612743,DEN,Denver,201589,Darrell Arthur,,,26:26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500029,1610612743,DEN,Denver,203999,Nikola Jokic,,,18:09,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500029,1610612743,DEN,Denver,2034,Mike Miller,,,9:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500029,1610612743,DEN,Denver,203475,Erick Green,,,1:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500035,1610612744,GSW,Golden State,203084,Harrison Barnes,F,,32:14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500035,1610612744,GSW,Golden State,203110,Draymond Green,F,,37:11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021500035,1610612744,GSW,Golden State,203105,Festus Ezeli,C,,15:04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
