GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0021900029,1610612738,Celtics,BOS,Boston,240:00,111.6,115.7,90.5,94.1,21.1,21.6,0.571,1.85,16.8,0.293,0.607,0.447,12.292,12.7,0.532,0.558,1.0,0.194,105.36,101.5,84.58,102,0.637
0021900032,1610612740,Pelicans,NOP,New Orleans,240:00,106.9,110.8,107.5,113.5,-0.6,-2.7,0.587,1.59,17.9,0.268,0.712,0.481,14.777,15.3,0.55,0.575,1.0,0.2,116.12,111.0,92.5,111,0.465
0021900032,1610612745,Rockets,HOU,Houston,240:00,107.5,113.5,106.9,110.8,0.6,2.7,0.628,1.42,17.6,0.288,0.732,0.519,16.212,17.1,0.527,0.588,1.0,0.197,116.12,111.0,92.5,111,0.535
0021900030,1610612754,Pacers,IND,Indiana,240:00,95.4,100.0,110.3,111.1,-14.8,-11.1,0.59,1.35,17.3,0.24,0.674,0.448,16.39,17.2,0.506,0.534,1.0,0.199,101.74,99.0,82.5,99,0.424
0021900030,1610612739,Cavaliers,CLE,Cleveland,240:00,110.3,111.1,95.4,100.0,14.8,11.1,0.575,1.21,17.1,0.326,0.76,0.552,19.046,19.2,0.569,0.593,1.0,0.199,101.74,99.0,82.5,99,0.576
0021900027,1610612755,76ers,PHI,Philadelphia,240:00,100.7,106.4,101.1,102.8,-0.4,3.6,0.714,1.36,19.7,0.306,0.814,0.543,18.933,20.0,0.557,0.584,1.0,0.196,113.02,109.0,90.83,110,0.551
0021900027,1610612765,Pistons,DET,Detroit,240:00,101.1,102.8,100.7,106.4,0.4,-3.6,0.488,0.87,14.8,0.186,0.694,0.457,20.94,21.3,0.592,0.604,1.0,0.2,113.02,109.0,90.83,108,0.449
0021900034,1610612762,Jazz,UTA,Utah,240:00,110.5,115.3,80.6,82.7,29.9,32.7,0.636,1.33,21.2,0.216,0.808,0.562,20.532,21.4,0.679,0.678,1.0,0.199,101.38,98.0,81.67,98,0.726
0021900034,1610612758,Kings,SAC,Sacramento,240:00,80.6,82.7,110.5,115.3,-29.9,-32.7,0.533,0.89,13.1,0.192,0.784,0.438,17.914,18.4,0.414,0.458,1.0,0.197,101.38,98.0,81.67,98,0.274
0021900026,1610612749,Bucks,MIL,Milwaukee,265:00,102.9,102.4,103.3,107.4,-0.3,-4.9,0.537,1.22,14.7,0.105,0.758,0.445,14.706,14.6,0.527,0.576,1.0,0.199,112.86,110.94,92.45,123,0.462
0021900026,1610612748,Heat,MIA,Miami,265:00,103.3,107.4,102.9,102.4,0.3,4.9,0.717,1.83,19.7,0.242,0.895,0.555,14.191,14.8,0.535,0.561,1.0,0.199,112.86,110.94,92.45,122,0.538
0021900028,1610612753,Magic,ORL,Orlando,240:00,95.7,98.0,103.4,101.0,-7.7,-3.0,0.429,1.5,11.1,0.323,0.767,0.5,9.667,9.9,0.379,0.448,1.0,0.201,101.52,101.5,84.58,101,0.444
0021900028,1610612737,Hawks,ATL,Atlanta,240:00,103.4,101.0,95.7,98.0,7.7,3.0,0.512,1.22,16.8,0.233,0.677,0.5,18.072,17.6,0.565,0.568,1.0,0.201,101.52,101.5,84.58,102,0.556
0021900040,1610612747,Lakers,LAL,Los Angeles,240:00,116.3,117.6,97.0,100.0,19.3,17.6,0.612,2.14,21.0,0.277,0.702,0.51,13.571,13.7,0.586,0.605,1.0,0.196,103.64,101.5,84.58,102,0.62
0021900040,1610612766,Hornets,CHA,Charlotte,240:00,97.0,100.0,116.3,117.6,-19.3,-17.6,0.543,1.19,14.0,0.298,0.723,0.49,15.367,15.8,0.44,0.499,1.0,0.196,103.64,101.5,84.58,101,0.38
0021900038,1610612757,Trail Blazers,POR,Portland,240:00,112.6,113.1,106.2,110.2,6.4,2.9,0.289,0.81,10.2,0.222,0.698,0.5,14.892,15.0,0.569,0.615,1.0,0.201,109.74,107.5,89.58,107,0.5
0021900038,1610612742,Mavericks,DAL,Dallas,240:00,106.2,110.2,112.6,113.1,-6.4,-2.9,0.73,2.25,17.9,0.302,0.778,0.5,10.71,11.1,0.463,0.531,1.0,0.198,109.74,107.5,89.58,108,0.5
0021900039,1610612750,Timberwolves,MIN,Minnesota,240:00,107.9,112.6,101.3,104.8,6.6,7.8,0.615,1.5,16.5,0.327,0.711,0.5,14.881,15.5,0.5,0.55,1.0,0.197,107.56,103.5,86.25,103,0.525
0021900039,1610612748,Heat,MIA,Miami,240:00,101.3,104.8,107.9,112.6,-6.6,-7.8,0.595,1.09,17.9,0.289,0.673,0.5,21.375,22.1,0.582,0.595,1.0,0.195,107.56,103.5,86.25,104,0.475
0021900037,1610612763,Grizzlies,MEM,Memphis,265:00,113.6,114.5,107.9,113.7,5.7,0.9,0.66,2.75,20.8,0.214,0.694,0.466,10.169,10.3,0.553,0.588,1.0,0.202,109.26,105.96,88.3,117,0.527
0021900037,1610612751,Nets,BKN,Brooklyn,265:00,107.9,113.7,113.6,114.5,-5.7,-0.9,0.636,1.65,17.3,0.306,0.786,0.534,13.79,14.5,0.51,0.567,1.0,0.2,109.26,105.96,88.3,117,0.473
0021900036,1610612760,Thunder,OKC,Oklahoma City,240:00,115.7,116.5,84.7,89.3,31.1,27.2,0.545,1.0,17.7,0.243,0.703,0.535,23.148,23.3,0.66,0.684,1.0,0.195,106.16,103.0,85.83,103,0.65
0021900036,1610612744,Warriors,GSW,Golden State,240:00,84.7,89.3,115.7,116.5,-31.1,-27.2,0.567,1.13,12.4,0.297,0.757,0.465,13.807,14.6,0.353,0.435,1.0,0.197,106.16,103.0,85.83,103,0.35
0021900048,1610612759,Spurs,SAS,San Antonio,240:00,102.7,104.6,97.4,100.0,5.2,4.6,0.61,1.39,17.6,0.18,0.742,0.491,16.352,16.7,0.524,0.57,1.0,0.2,111.48,109.0,90.83,108,0.572
0021900048,1610612757,Trail Blazers,POR,Portland,240:00,97.4,100.0,102.7,104.6,-5.2,-4.6,0.487,1.9,13.5,0.258,0.82,0.509,8.859,9.1,0.44,0.492,1.0,0.2,111.48,109.0,90.83,110,0.428
0021900042,1610612752,Knicks,NYK,New York,240:00,108.2,110.5,101.8,103.2,6.3,7.4,0.5,1.12,13.5,0.475,0.788,0.619,17.511,17.9,0.467,0.5,1.0,0.2,96.66,95.0,79.17,95,0.516
0021900042,1610612741,Bulls,CHI,Chicago,240:00,101.8,103.2,108.2,110.5,-6.3,-7.4,0.528,1.9,15.4,0.212,0.525,0.381,10.391,10.5,0.476,0.52,1.0,0.198,96.66,95.0,79.17,95,0.484
